Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17072026,1706432445,0003099
Trade Date <17-JUL-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,217,ABCOTS,EQ,51818,14133,27.27
20,218,ABDL,EQ,188379,82194,43.63
20,219,ABFRL,EQ,2874674,1665021,57.92
20,220,ABGSEC,EQ,3,3,100.00
20,221,ABHAPOWER,SM,3200,1600,50.00
20,222,ABINFRA,EQ,565601,222703,39.37
20,223,ABLBL,EQ,452079,255976,56.62
20,224,ABMINTLLTD,EQ,200,200,100.00
20,225,ABMKNO,EQ,1663,1427,85.81
20,226,ABREL,EQ,155791,74241,47.65
20,227,ABSL10BANK,EQ,71636,70667,98.65
20,228,ABSLAMC,EQ,298822,186033,62.26
20,229,ABSLBANETF,EQ,53415,43740,81.89
20,230,ABSLLIQUID,EQ,3339,3178,95.18
20,231,ABSLMSCIN,EQ,1695,1559,91.98
20,232,ABSLNN50ET,EQ,5379,2751,51.14
20,233,ABSLPSE,EQ,64222,45933,71.52
20,234,ABSMARINE,ST,22000,21000,95.45
20,235,ACC,EQ,146288,61952,42.35
20,236,ACCELYA,EQ,14860,7637,51.39
20,237,ACCENTMIC,SM,16500,10000,60.61
20,238,ACCORD,ST,10000,10000,100.00
20,239,ACCPL,ST,38400,38400,100.00
20,240,ACE,EQ,182020,90630,49.79
20,241,ACEINTEG,EQ,7978,6858,85.96
20,242,ACETEC,SM,19200,19200,100.00
20,243,ACI,EQ,354999,187008,52.68
20,244,ACL,EQ,9604,9155,95.32
20,245,ACMESOLAR,EQ,3080054,1760099,57.15
20,246,ACSTECH,EQ,118620,94638,79.78
20,247,ACTIVEINFR,SM,3600,3600,100.00
20,248,ACUTAAS,EQ,187911,96485,51.35
20,249,ADANIENSOL,EQ,2898703,663320,22.88
20,250,ADANIENT,EQ,1021302,468167,45.84
20,251,ADANIGREEN,EQ,4912240,2496467,50.82
20,252,ADANIPORTS,EQ,962152,411979,42.82
20,253,ADANIPOWER,EQ,26561459,11247990,42.35
20,254,ADDICTIVE,SM,5500,4000,72.73
20,255,ADFFOODS,EQ,137151,64402,46.96
